speed/Mbps,r_time_1,loss_1,r_time_2,loss_2,r_time_3,loss_3,r_time_4,loss_4,r_time_5,loss_5
1,0.16742157936096191,-0.015625,0.13798856735229492,-0.015625,0.15326833724975586,-0.015625,0.14901971817016602,-0.015625,0.1497054100036621,-0.015625
11,0.20719003677368164,-0.008522727272727293,0.14520907402038574,-0.008522727272727293,0.14849305152893066,-0.008522727272727293,0.1303870677947998,-0.008522727272727293,0.16504383087158203,-0.008522727272727293
21,0.17063188552856445,-0.004464285714285587,0.17561078071594238,-0.004464285714285587,0.17400026321411133,-0.004464285714285587,0.16806983947753906,-0.004464285714285587,0.18387889862060547,-0.004464285714285587
31,0.18692326545715332,-0.003024193548387011,0.16456127166748047,-0.003024193548387011,0.1650242805480957,-0.003024193548387011,0.16176247596740723,-0.003024193548387011,0.16701173782348633,-0.003024193548387011
41,0.17735004425048828,-0.0022865853658537993,0.20482802391052246,-0.0022865853658537993,0.1830432415008545,-0.0022865853658537993,0.1613161563873291,-0.0022865853658537993,0.15357065200805664,-0.0022865853658537993
51,0.14609193801879883,-0.0018382352941177516,0.18712925910949707,-0.0018382352941177516,0.1477046012878418,-0.0018382352941177516,0.15876126289367676,-0.0018382352941177516,0.16640233993530273,-0.0018382352941177516
61,0.18159151077270508,-0.0015368852459016757,0.208143949508667,-0.0015368852459016757,0.16810989379882812,-0.0015368852459016757,0.17618227005004883,-0.0015368852459016757,0.17923736572265625,-0.0015368852459016757
71,0.16472148895263672,-0.001320422535211252,0.18434834480285645,-0.001320422535211252,0.17078351974487305,-0.001320422535211252,0.17139959335327148,-0.001320422535211252,0.18671488761901855,-0.001320422535211252
81,0.21500873565673828,-0.0011574074074074403,0.14390993118286133,-0.0011574074074074403,0.16195130348205566,-0.0011574074074074403,0.1581563949584961,-0.0011574074074074403,0.30931854248046875,-0.0011574074074074403
91,0.20897173881530762,-0.0010302197802198876,0.17351388931274414,-0.0010302197802198876,0.17988920211791992,-0.0010302197802198876,0.22310709953308105,-0.0010302197802198876,0.14132094383239746,-0.0010302197802198876
101,0.18910670280456543,-0.0009282178217822068,0.2189171314239502,-0.0009282178217822068,0.1737680435180664,-0.0009282178217822068,0.22520184516906738,-0.0009282178217822068,0.2307124137878418,-0.0009282178217822068
111,0.24324464797973633,-0.0008445945945945166,0.23356318473815918,-0.0008445945945945166,0.19132351875305176,-0.0008445945945945166,0.18660664558410645,-0.0008445945945945166,0.28613829612731934,-0.0008445945945945166
121,0.3292362689971924,-0.0007747933884296732,0.2950859069824219,-0.0007747933884296732,0.3526875972747803,-0.0007747933884296732,0.31703853607177734,-0.0007747933884296732,0.3498654365539551,-0.0007747933884296732
131,0.44866204261779785,-0.0007156488549617812,0.4672966003417969,-0.0007156488549617812,0.4456050395965576,-0.0007156488549617812,0.46349167823791504,-0.0007156488549617812,0.42819762229919434,-0.0007156488549617812
141,0.547795295715332,-0.0006648936170212671,0.5292422771453857,-0.0006648936170212671,0.5280699729919434,-0.0006648936170212671,0.5635776519775391,-0.0006648936170212671,0.5612168312072754,-0.0006648936170212671
151,0.6781232357025146,-0.0006208609271523002,0.7299306392669678,-0.0006208609271523002,0.6373002529144287,-0.0006208609271523002,0.6676592826843262,0.20840231788079466,0.6345272064208984,-0.0006208609271523002
161,0.7900784015655518,-0.0005822981366458979,0.7281959056854248,-0.0005822981366458979,0.7508797645568848,-0.0005822981366458979,0.769838809967041,-0.0005822981366458979,0.7370836734771729,-0.0005822981366458979
171,0.1871640682220459,0.9849232456140351,1.0622105598449707,-0.0005482456140351033,0.8574810028076172,-0.0005482456140351033,0.8436636924743652,-0.0005482456140351033,0.8475782871246338,-0.0005482456140351033
181,0.9900250434875488,-0.000517955801104808,1.1940202713012695,-0.000517955801104808,0.9215226173400879,-0.000517955801104808,0.9550373554229736,-0.000517955801104808,0.954657793045044,-0.000517955801104808
191,1.0623137950897217,-0.0004908376963350669,1.0781958103179932,-0.0004908376963350669,1.044618844985962,-0.0004908376963350669,1.0582566261291504,-0.0004908376963350669,1.0349504947662354,-0.0004908376963350669
201,1.185102939605713,-0.00046641791044765846,1.1701369285583496,-0.00046641791044765846,1.1902904510498047,-0.00046641791044765846,0.9163575172424316,0.12235696517412942,1.1544320583343506,-0.00046641791044765846
211,1.288280963897705,-0.00044431279620837927,1.333094596862793,-0.00044431279620837927,1.2359623908996582,-0.00044431279620837927,1.2425775527954102,-0.00044431279620837927,1.2952475547790527,-0.00044431279620837927
221,1.3749260902404785,-0.00042420814479626756,1.3680570125579834,-0.00042420814479626756,1.3502230644226074,-0.00042420814479626756,1.4546120166778564,0.009473981900452566,1.3957710266113281,-0.00042420814479626756
231,1.503758192062378,-0.00040584415584410394,1.5452220439910889,-0.00040584415584410394,1.472485065460205,-0.00040584415584410394,1.5031681060791016,-0.00040584415584410394,1.4763455390930176,-0.00040584415584410394
241,1.5995407104492188,-0.00038900414937748096,1.5420668125152588,-0.00038900414937748096,1.566296100616455,-0.00038900414937748096,1.6148509979248047,-0.00038900414937748096,1.597445011138916,-0.00038900414937748096
251,1.6774241924285889,-0.00037350597609564495,1.6832525730133057,-0.00037350597609564495,1.7345952987670898,-0.00037350597609564495,1.720759391784668,-0.00037350597609564495,1.724595546722412,-0.00037350597609564495
261,1.7022545337677002,0.060404693486590055,1.7598576545715332,-0.0003591954022987842,1.7964966297149658,-0.0003591954022987842,1.8008511066436768,-0.0003591954022987842,1.8460168838500977,-0.0003591954022987842
271,1.8746070861816406,-0.00034594095940954084,1.9068412780761719,-0.00034594095940954084,1.885707139968872,-0.00034594095940954084,1.9267258644104004,-0.00034594095940954084,1.8709521293640137,-0.00034594095940954084
281,2.0575931072235107,-0.0003336298932383741,2.002561330795288,-0.0003336298932383741,1.969071865081787,-0.0003336298932383741,2.0095911026000977,-0.0003336298932383741,1.994701862335205,-0.0003336298932383741
291,2.158802032470703,-0.0003221649484534961,2.089390993118286,-0.0003221649484534961,2.0905752182006836,-0.0003221649484534961,2.0900585651397705,-0.0003221649484534961,1.9214649200439453,0.07001718213058428
301,2.2174694538116455,-0.00031146179401986274,2.1685757637023926,0.013963870431893732,2.3722569942474365,-0.00031146179401986274,2.257248878479004,-0.00031146179401986274,1.9497504234313965,0.08949335548172765
311,2.360283851623535,-0.0003014469453375135,2.31754732131958,-0.0003014469453375135,1.8017621040344238,0.17905948553054662,1.977769374847412,0.14188102893890675,2.324895143508911,-0.0003014469453375135
321,2.4285666942596436,-0.00029205607476634476,2.4031505584716797,-0.00029205607476634476,2.4236247539520264,-0.00029205607476634476,2.4494733810424805,-0.00029205607476634476,2.464620351791382,-0.00029205607476634476
331,2.53334379196167,-0.0002832326283987996,2.229480504989624,0.09247545317220551,2.5283491611480713,-0.0002832326283987996,2.199371576309204,0.09625188821752273,2.4207684993743896,0.039605362537764366
341,2.6245346069335938,-0.0002749266862169808,2.644808530807495,-0.0002749266862169808,1.7944588661193848,0.23180901759530792,2.6207494735717773,-0.0002749266862169808,2.412081241607666,0.06570747800586518
351,2.7507641315460205,-0.0002670940170939051,2.7833428382873535,-0.0002670940170939051,3.064675807952881,-0.0002670940170939051,2.7353925704956055,-0.0002670940170939051,2.751628875732422,-0.0002670940170939051
361,2.8351612091064453,-0.0002596952908586747,2.837217092514038,-0.0002596952908586747,2.854837417602539,-0.0002596952908586747,2.870443344116211,-0.0002596952908586747,0.5532667636871338,0.8443992382271468
371,0.3820662498474121,0.8930256064690028,2.9386305809020996,0.2749747304582211,1.776193618774414,0.3253032345013477,1.7213935852050781,0.315616576819407,2.7459588050842285,0.043126684636118684
381,3.0704805850982666,-0.0002460629921259283,3.053633213043213,-0.0002460629921259283,3.020188808441162,-0.0002460629921259283,3.088554620742798,-0.0002460629921259283,2.819356918334961,0.05265748031496065
391,2.9170620441436768,0.058903452685422075,1.4800302982330322,0.41096547314578,3.067704916000366,0.024736253196930957,2.5947394371032715,0.14042519181585678,2.611579656600952,0.1648017902813299
401,2.7714154720306396,0.12211658354114718,2.7848284244537354,0.12581826683291775,3.275728702545166,-0.0002337905236906579,3.2778384685516357,-0.0002337905236906579,3.2833094596862793,-0.0002337905236906579
